"latitud","descripcion","longitud","detalle"
"-25.276278","nción - Sitio: Costanera Asunción - pto 2","-57.628292","Dirección:  Avda. Costanera José Asunción Flores"
"-25.281899","Asunción - Sitio:  Parque Caballero – Asunción","-57.621074","Dirección:  Manuel Gondra y Andrés Barbero"
"-25.231595","allos Cué - Sitio: Plaza Héroes del Chaco","-57.563765","Dirección:  Tte. 2do. Claudio Acosta y Cnel. Bóbeda"
"-25.277195","nción - Sitio: Costanera Asunción - pto 3","-57.631311","Dirección:  Avda. Costanera José Asunción Flores"
"-25.275826","nción - Sitio: Costanera Asunción - pto 1","-57.634346","Dirección:  Avda. Costanera José Asunción Flores  "
"-25.403822","iatá - Sitio: Ciclovía Ruta 1","-57.462834","Dirección:  Ruta 1- Mcal. Francisco S. López - Km. 21"
"-25.273096","Asunción - Sitio: Parque Ñu Guazú - Entrada 1","-57.541837","Dirección:  Avda. Aviadores Silvio Pettirosi"
"-25.204739","Limpio - Sitio: Asentamiento El Bosque Restaurador - SENAVITAT","-57.475973","Dirección:  El Bosque - Limpio"
"-25.2607383","Tobati - Sitio: Plaza Capitán Pedro Juan Caballero","-57.0826361","Dirección:  Ruta Caacupé - Tobati"
"-25.270939","Asunción - Sitio: Hospital Central IPS","-57.582371","Dirección:  Avda. Santísimo Sacramento"
"-25.280813","Asunción - Sitio: Barrio Ricardo Brugada - Oriental","-57.626882","Dirección:  Florencio Villamayor y Paraguari"
"-25.311822","Areguá - Sitio: Expo Frutilla - Aregua","-57.378894","Dirección:  Ruta Aregua-Patiño e/ EE.UU"
"-25.22732","Luque - Sitio: Asentamiento Cerro Corá","-57.47172","Dirección:  Asentamiento Cerro Corá - Luque"
"-25.2663586","Luque - Sitio: Paseo Central Luque - Mauseleo del Gral. José Elizardo Aquino","-57.4939603","Dirección:  Eugenio A. Garay C/ Avda. Gral. Aquino"
"-25.300874","Asunción - Sitio: Emergencias Médicas","-57.612569","Dirección:  Avda. Gral Santos e/ Teodoro S. Mongelós"
"-25.260298","Asunción - Sitio: Plaza Héroes del Chaco (Santísima Trinidad)","-57.578686","Dirección:  Avda. Santísima Trinidad y Vía Férrea"
"-25.417233","San Antonio - Sitio: Asentamiento Santa Catalina","-57.560464","Dirección:  Soldado Desconocido c/ 29 de Setiembre"
"-25.392911","San Lorenzo - Sitio: Hospital Acosta Ñu","-57.499007","Dirección:  Avda. Arnaldo Bacigalupo"
